id,Gene_origin,Genomic_location,Class,Metal_biocide_function,,,
BAM0136_sitC_1,Escherichia coli,"Plasmid pSMS35_130 (Escherichia coli (strain SMS-3-5 / SECEC)), Plasmid pPag3 (Pantoea vagans (strain C9-1) (Pantoea agglomerans (strain C9-1)))",Metal,"Manganese (Mn), Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]",,,
BAM0137_sitD_1,Escherichia coli,"Plasmid pSMS35_130 (Escherichia coli (strain SMS-3-5 / SECEC)), Plasmid pPag3 (Pantoea vagans (strain C9-1) (Pantoea agglomerans (strain C9-1)))",Metal,"Manganese (Mn), Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]",,,
BAM0138_smtA_1,Escherichia coli,Unknown,Metal,Lead (Pb),,,
BAM0139_soxR_1,Escherichia coli,Chromosome,Biocide,Methyl Viologen [class: Paraquat],,,
BAM0140_soxS_1,Escherichia coli,Chromosome,Metal,"Zinc (Zn), Cyclohexane [class: Cycloalkane]",,,
BAM0141_tcrB_1,Enterococcus faecium,plasmid pA17sv1,Metal,Copper (Cu),,,
BAM0142_tehA_1,Escherichia coli,Chromosome,Metal_Biocide,"Tellurium (Te), Proflavin [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Dequalinium [class: Quaternary Ammonium Compounds (QACs)], Methyl Viologen [class: Paraquat]",,,
BAM0143_tehB_1,Escherichia coli,Chromosome,Metal_Biocide,"Tellurium (Te), Proflavin [class: Acridine]",,,
BAM0144_terF_1,Salmonella Heidelberg ,Plasmid,Metal,Tellurite,,,
BAM0145_tolC_1,Escherichia coli,Chromosome,Biocide,"Phenol [class: Phenolic compounds], Triclosan [class: Phenolic compounds], Sodium Deoxycholate (SDC) [class: Acid], Sodium Cholate [class: Acid], Sodium Taurodeoxycholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Proflavin [class: Acridine], Acriflavine [class: Acridine], Ethidium Bromide [class: Phenanthridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Rhodamine 6G [class: Xanthene], Tetraphenylarsonium (TPA) [class: Quaternary Ammonium Compounds (QACs)], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Dequalinium [class: Quaternary Ammonium Compounds (QACs)], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Plumbagin [class: Naphthoquinone]",,,
BAM0146_ydeI_1,Escherichia coli,Chromosome,Biocide,Hydrogen Peroxide (H2O2) [class: Peroxides],,,
BAM0147_ydeO_1,Escherichia coli,Chromosome,Biocide,"Hydrochloric acid (HCl) [class: Acid], Rhodamine 6G [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]",,,
BAM0148_ydeP_1,Escherichia coli,Chromosome,Biocide,Hydrochloric acid (HCl) [class: Acid],,,
BAM0149_ygiW_1,Shewanella oneidensis,Plasmid pMR-1 (Shewanella oneidensis (strain MR-1)),Metal,"Cadmium (Cd), Tributyltin (TBT) [class: Organo-tin], Hydrogen Peroxide (H2O2) [class: Peroxides]",,,
BAM0150_zinT_1,Escherichia coli,Chromosome,Metal,"Cadmium (Cd), Zinc (Zn)",,,
BAM0151_zitB_1,Escherichia coli,Chromosome,Metal,Zinc (Zn),,,
BAM0152_zntA_1,Escherichia coli,Chromosome,Metal,"Lead (Pb), Cadmium (Cd), Zinc (Zn)",,,
BAM0153_zntR_1,Escherichia coli,Chromosome,Metal,Zinc (Zn),,,
BAM0154_znuA_1,Escherichia coli,Chromosome,Metal,Zinc (Zn),,,
BAM0155_znuB_1,Escherichia coli,Chromosome,Metal,Zinc (Zn),,,
BAM0156_znuC_1,Escherichia coli,Chromosome,Metal,Zinc (Zn),,,
BAM0157_zraP_1,Salmonella typhimurium,Chromosome,Metal,Zinc (Zn),,,
BAM0158_zraR_1,Escherichia coli,Chromosome,Metal,Zinc (Zn),,,
BAM0159_zraS_1,Escherichia coli,Chromosome,Metal,"Zinc (Zn), Lead (Pb)",,,
BAM0160_zupT_1,Escherichia coli,Chromosome,Metal,"Zinc (Zn), Iron (Fe), Cobalt (Co), Nickel (Ni), Copper (Cu), Cadmium (Cd)",,,
BAM0161_zur_1,Escherichia coli,Chromosome,Metal,Zinc (Zn),,,
