id,gene,gene_function,sub_class,class,source_organism
Marse-g0164_arsA,arsA,arsenite_efflux_transporter_ATPase_subunit_ArsA,Arsenic resistance,Metals,Enterococcus faecalis
Marse-g0165_arsA,arsA,arsenite_efflux_transporter_ATPase_subunit_ArsA,Arsenic resistance,Metals,Listeria monocytogenes
Marse-g0166_arsB,arsB,Arsenic_resistance_protein,Arsenic resistance,Metals,Bacillus subtilis
Marse-g0167_arsB,arsB,Arsenic_resistance_protein,Arsenic resistance,Metals,Escherichia coli
Marse-g0168_arsB_Lm,arsB_Lm,arsenite_efflux_transporter_membrane_subunit_ArsB,Arsenic resistance,Metals,Listeria monocytogenes
Marse-g0169_arsB_Lm,arsB_Lm,arsenite_efflux_transporter_membrane_subunit_ArsB,Arsenic resistance,Metals,Listeria monocytogenes
Marse-g0170_arsB_Lm,arsB_Lm,arsenite_efflux_transporter_membrane_subunit_ArsB,Arsenic resistance,Metals,Listeria monocytogenes
Marse-g0171_arsB_Lm,arsB_Lm,arsenite_efflux_transporter_membrane_subunit_ArsB,Arsenic resistance,Metals,Listeria monocytogenes
Marse-g0172_arsB_pI258,arsB_pI258,arsenite_efflux_transporter_membrane_subunit_ArsB,Arsenic resistance,Metals,Staphylococcus aureus
Marse-g0173_arsB_pI258,arsB_pI258,arsenite_efflux_transporter_membrane_subunit_ArsB,Arsenic resistance,Metals,Staphylococcus xylosus
Marse-g0174_arsB_pKW301,arsB_pKW301,arsenite_efflux_transporter_membrane_subunit_ArsB,Arsenic resistance,Metals,Klebsiella pneumoniae
Marse-g0175_arsB_pYV,arsB_pYV,arsenite_efflux_transporter_membrane_subunit_ArsB,Arsenic resistance,Metals,Yersinia enterocolitica
Marse-g0176_arsB_R773,arsB_R773,arsenite_efflux_transporter_membrane_subunit_ArsB,Arsenic resistance,Metals,Escherichia coli
Marse-g0177_arsC,arsC,Arsenic_resistance_protein,Arsenic resistance,Metals,Staphylococcus aureus
Marse-g0178_arsC,arsC,Arsenic_resistance_protein,Arsenic resistance,Metals,Staphylococcus aureus
Marse-g0179_arsC,arsC,Arsenic_resistance_protein,Arsenic resistance,Metals,Staphylococcus aureus
Marse-g0180_arsC,arsC,Arsenic_resistance_protein,Arsenic resistance,Metals,Escherichia coli
Marse-g0181_arsC_gluta,arsC_gluta,glutaredoxin-dependent_arsenate_reductase,Arsenic resistance,Metals,Salmonella enterica subsp. enterica serovar Typhimurium
Marse-g0182_arsC_gluta,arsC_gluta,glutaredoxin-dependent_arsenate_reductase,Arsenic resistance,Metals,Escherichia coli
Marse-g0183_arsC_gluta,arsC_gluta,glutaredoxin-dependent_arsenate_reductase,Arsenic resistance,Metals,Yersinia enterocolitica
Marse-g0184_arsC_gluta,arsC_gluta,glutaredoxin-dependent_arsenate_reductase,Arsenic resistance,Metals,Klebsiella pneumoniae
Marse-g0185_arsC_thio,arsC_thio,thioredoxin-dependent_arsenate_reductase,Arsenic resistance,Metals,Staphylococcus aureus
Marse-g0186_arsC_thio,arsC_thio,thioredoxin-dependent_arsenate_reductase,Arsenic resistance,Metals,Staphylococcus xylosus
