id,antimicrobial,Bacteria,Ref,,
betaL-g0310_CMY-43,"Cefotaxime, Ceftazidime, Ampicillin",,FJ360626,CMY-4,
betaL-g0311_CMY-44,"Cefotaxime, Ceftazidime, Ampicillin",,FJ437066,CMY-4,
betaL-g0312_CMY-45,"Cefotaxime, Ceftazidime, Ampicillin",,GQ351345,CMY-4,
betaL-g0313_CMY-47,"Cefotaxime, Ceftazidime, Ampicillin",,HM046998,CMY-4,
betaL-g0314_CMY-48,"Cefotaxime, Ceftazidime, Ampicillin",,HM569226,CMY-4,
betaL-g0315_CMY-49,"Cefotaxime, Ceftazidime, Ampicillin",,GQ402541,CMY-4,
betaL-g0316_CMY-5,"Cefotaxime, Ceftazidime, Ampicillin",,Y17716,CMY-5,
betaL-g0317_CMY-53,"Cefotaxime, Ceftazidime, Ampicillin",,HQ336940,CMY-5,
betaL-g0318_CMY-54,"Cefotaxime, Ceftazidime, Ampicillin",,HM544039,CMY-5,
betaL-g0319_CMY-55,"Cefotaxime, Ceftazidime, Ampicillin",,HM544040,CMY-5,
betaL-g0320_CMY-56,"Cefotaxime, Ceftazidime, Ampicillin",,HQ322613,CMY-5,
betaL-g0321_CMY-57,"Cefotaxime, Ceftazidime, Ampicillin",,HQ285243,CMY-5,
betaL-g0322_CMY-58,"Cefotaxime, Ceftazidime, Ampicillin",,HQ185697,CMY-5,
betaL-g0323_CMY-59,"Cefotaxime, Ceftazidime, Ampicillin",,AB587082,CMY-5,
betaL-g0325_CMY-6,"Cefotaxime, Ceftazidime, Ampicillin",,AJ011293,CMY-6,
betaL-g0327_CMY-64,"Cefotaxime, Ceftazidime, Ampicillin",,HQ832678,CMY-6,
betaL-g0328_CMY-65,"Cefotaxime, Ceftazidime, Ampicillin",,JF780936,CMY-6,
betaL-g0329_CMY-66,"Cefotaxime, Ceftazidime, Ampicillin",,JN714478,CMY-6,
betaL-g0330_CMY-67,"Cefotaxime, Ceftazidime, Ampicillin",,JQ711185,CMY-6,
betaL-g0331_CMY-68,"Cefotaxime, Ceftazidime, Ampicillin",,JN714480,CMY-6,
betaL-g0332_CMY-7,"Cefotaxime, Ceftazidime, Ampicillin",,AJ011291,CMY-7,
betaL-g0333_CMY-70,"Cefotaxime, Ceftazidime, Ampicillin",,JX440350,CMY-7,
betaL-g0334_CMY-71,"Cefotaxime, Ceftazidime, Ampicillin",,JQ711184,CMY-7,
betaL-g0335_CMY-72,"Cefotaxime, Ceftazidime, Ampicillin",,JX440352,CMY-7,
betaL-g0337_CMY-74,"Cefotaxime, Ceftazidime, Ampicillin",,JX440349,CMY-7,
betaL-g0338_CMY-75,"Cefotaxime, Ceftazidime, Ampicillin",,JQ733572,CMY-7,
betaL-g0339_CMY-76,"Cefotaxime, Ceftazidime, Ampicillin",,JQ733573,CMY-7,
betaL-g0340_CMY-77,"Cefotaxime, Ceftazidime, Ampicillin",,JX440353,CMY-7,
betaL-g0341_CMY-78,"Cefotaxime, Ceftazidime, Ampicillin",,JQ733575,CMY-7,
betaL-g0342_CMY-79,"Cefotaxime, Ceftazidime, Ampicillin",,JQ733576,CMY-7,
betaL-g0343_CMY-8,,,AF167990,CMY-8,
betaL-g0344_CMY-80,"Cefotaxime, Ceftazidime, Ampicillin",,JQ733577,CMY-8,
betaL-g0345_CMY-81,"Cefotaxime, Ceftazidime, Ampicillin",,JQ733578,CMY-8,
betaL-g0346_CMY-83,"Cefotaxime, Ceftazidime, Ampicillin",,JX440351,CMY-8,
betaL-g0347_CMY-84,"Cefotaxime, Ceftazidime, Ampicillin",,JQ733579,CMY-8,
betaL-g0349a_CMY-8b,,,DQ094251,_CMY-,
betaL-g0350_CMY-9,,,AB061794,CMY-9,
betaL-g0351_CMY-94,"Cefotaxime, Ceftazidime, Ampicillin",,JX514368,CMY-9,
betaL-g0352_CMY-95,"Cefotaxime, Ceftazidime, Ampicillin",,JX514369,CMY-9,
betaL-g0353_CMY-98,"Cefotaxime, Ceftazidime, Ampicillin",,KC603538,CMY-9,
betaL-g0354_CMY-99,"Cefotaxime, Ceftazidime, Ampicillin",,KF305673,CMY-9,
betaL-g0355_cphA-2,,,U60294,cphA-,
betaL-g0356_cphA-4,,,AY227050,cphA-,
betaL-g0357_cphA-5,,,AY227051,cphA-,
betaL-g0358_cphA-6,,,AY227052,cphA-,
betaL-g0359_cphA-7,,,AY227053,cphA-,
betaL-g0360_cphA-8,,,AY261375,cphA-,
betaL-g0361_CSP-1,,,GQ217533,CSP-1,ESBL
betaL-g0362_CTX-M-1,"Cefotaxime, Ceftazidime, Ampicillin",,X92506,CTX-M,
betaL-g0363_CTX-M-10,"Cefotaxime, Ceftazidime, Ampicillin",,AF255298,CTX-M,
